service_id,date,exception_type
"4418_247422","20230708","1"
"4418_247422","20230710","1"
"4418_247422","20230711","1"
"4418_247422","20230712","1"
"4418_247422","20230713","1"
"4418_247422","20230714","1"
"4418_247422","20230715","1"
"4418_247422","20230717","1"
"4418_247422","20230718","1"
"4418_247422","20230719","1"
"4418_247422","20230720","1"
"4418_247422","20230721","1"
"4418_247422","20230722","1"
"4418_247422","20230724","1"
"4418_247422","20230725","1"
"4418_247422","20230726","1"
"4418_247422","20230727","1"
"4418_247422","20230728","1"
"4418_247422","20230729","1"
"4418_247422","20230731","1"
"4418_247422","20230801","1"
"4418_247422","20230802","1"
"4418_247422","20230803","1"
"4418_247422","20230804","1"
"4418_247422","20230805","1"
"4418_247422","20230807","1"
"4418_247422","20230808","1"
"4418_247422","20230809","1"
"4418_247422","20230810","1"
"4418_247422","20230811","1"
"4418_247422","20230812","1"
"4418_247422","20230814","1"
"4418_247422","20230816","1"
"4418_247422","20230817","1"
"4418_247422","20230818","1"
"4418_247422","20230819","1"
"4418_247422","20230821","1"
"4418_247422","20230822","1"
"4418_247422","20230823","1"
"4418_247422","20230824","1"
"4418_247422","20230825","1"
"4418_247422","20230826","1"
"4418_247422","20230828","1"
"4418_247422","20230829","1"
"4418_247422","20230830","1"
"4418_247422","20230831","1"
"4418_247422","20230901","1"
"4418_247422","20230902","1"
"4418_247422","20230904","1"
"4418_247422","20230905","1"
"4418_247422","20230906","1"
"4418_247422","20230907","1"
"4418_247422","20230908","1"
"4418_247422","20230909","1"
"4418_247422","20230911","1"
"4418_247422","20230912","1"
"4418_247422","20230913","1"
"4418_247422","20230914","1"
"4418_247422","20230915","1"
"4418_247422","20230916","1"
"4418_247422","20230918","1"
"4418_247422","20230919","1"
"4418_247422","20230920","1"
"4418_247422","20230921","1"
"4418_247422","20230922","1"
"4418_247422","20230923","1"
"4418_247422","20230925","1"
"4418_247422","20230926","1"
"4418_247422","20230927","1"
"4418_247422","20230928","1"
"4418_247422","20230929","1"
"4418_247422","20230930","1"
