route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"1004295345","4418_247758","4418_297860","Firenze Smn","18304","1","3146416859"
"1004295345","4418_247758","4418_297861","Firenze Smn","04030","1","266099027"
"1004295345","4418_247758","4418_297862","Firenze Smn","04032","1","2594318687"
"1004295345","4418_247758","4418_297863","Firenze Smn","04046","1","2123731961"
"1004295345","4418_247758","4418_297864","Livorno C.Le","04019","0","2828777973"
"1004295345","4418_247758","4418_297865","Firenze Smn","04060","1","43901364"
"1004295345","4418_247758","4418_297866","Livorno C.Le","04021","0","2828777973"
"1004295345","4418_247758","4418_297867","Livorno C.Le","04035","0","2828777973"
"1004295345","4418_247758","4418_297868","Livorno C.Le","04047","0","2828777973"
"1004295345","4418_247758","4418_297869","Firenze Smn","04034","1","2123731961"
"1004295345","4418_247758","4418_297870","Firenze Smn","04038","1","2594318687"
"1004295345","4418_247758","4418_297871","Firenze Smn","04044","1","2594318687"
"1004295345","4418_247758","4418_297872","Firenze Smn","18254","1","727803125"
"1004295345","4418_247758","4418_297873","Firenze Smn","18260","1","2594318687"
"1004295345","4418_247758","4418_297874","Livorno C.Le","18329","0","2041541862"
"1004295345","4418_247758","4418_297875","Livorno C.Le","04037","0","2673971951"
"1004295345","4418_247758","4418_297876","Livorno C.Le","04011","0","2673971951"
"1004295345","4418_247758","4418_297877","Firenze Smn","04018","1","2123731961"
"1004295345","4418_247758","4418_297878","Livorno C.Le","04051","0","2828777973"
"1004295345","4418_247758","4418_297879","Firenze Smn","04052","1","2594318687"
"1004295345","4418_247758","4418_297880","Livorno C.Le","04023","0","2673971951"
"1004295345","4418_247758","4418_297881","Livorno C.Le","04029","0","2828777973"
"1004295345","4418_247758","4418_297882","Livorno C.Le","18289","0","1087422025"
"1004295345","4418_247734","4418_297883","Pisa C.Le","18183","0","2166255360"
"1004295345","4418_247734","4418_297884","Pisa C.Le","18285","0","3223097838"
"1004295345","4418_247734","4418_297885","Pontedera C.T.","18430","1","440114965"
