route_id,trip_id,service_id,trip_short_name,trip_headsign,route_short_name,direction_id,block_id,shape_id,wheelchair_accessible,trip_bikes_allowed,bikes_allowed,ticketing_trip_id,ticketing_type
001,001-18-0850042024-M#FR-00,001-18-0850042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0850052024-M#FR-00,001-18-0850052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0850062024-M#FR-00,001-18-0850062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0850072024-M#FR-00,001-18-0850072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0850082024-M#FR-00,001-18-0850082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0850092024-M#FR-00,001-18-0850092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0850102024-M#FR-00,001-18-0850102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950012024-M#FR-00,001-18-0950012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950012025-M#FR-00,001-18-0950012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950022024-M#FR-00,001-18-0950022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950032024-M#FR-00,001-18-0950032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950042024-M#FR-00,001-18-0950042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950052024-M#FR-00,001-18-0950052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950062024-M#FR-00,001-18-0950062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950072024-M#FR-00,001-18-0950072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950082024-M#FR-00,001-18-0950082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950092024-M#FR-00,001-18-0950092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950102024-M#FR-00,001-18-0950102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950112023-M#FR-00,001-18-0950112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950112024-M#FR-00,001-18-0950112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950122023-M#FR-00,001-18-0950122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950122024-M#FR-00,001-18-0950122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-0950122025-M#FR-00,001-18-0950122025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050012024-M#FR-00,001-18-1050012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050012025-M#FR-00,001-18-1050012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050022024-M#FR-00,001-18-1050022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050032024-M#FR-00,001-18-1050032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050102024-M#FR-00,001-18-1050102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050112023-M#FR-00,001-18-1050112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050112024-M#FR-00,001-18-1050112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050122023-M#FR-00,001-18-1050122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-18-1050122024-M#FR-00,001-18-1050122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620042024-M#FR-00,001-2-0620042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620052024-M#FR-00,001-2-0620052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620062024-M#FR-00,001-2-0620062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620072024-M#FR-00,001-2-0620072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620082024-M#FR-00,001-2-0620082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620092024-M#FR-00,001-2-0620092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0620102024-M#FR-00,001-2-0620102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0650012024-M#FR-00,001-2-0650012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0650112023-M#FR-00,001-2-0650112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0650122023-M#FR-00,001-2-0650122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720012024-M#FR-00,001-2-0720012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720012025-M#FR-00,001-2-0720012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720022024-M#FR-00,001-2-0720022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720032024-M#FR-00,001-2-0720032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720042024-M#FR-00,001-2-0720042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720052024-M#FR-00,001-2-0720052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720062024-M#FR-00,001-2-0720062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720072024-M#FR-00,001-2-0720072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720082024-M#FR-00,001-2-0720082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720092024-M#FR-00,001-2-0720092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720102024-M#FR-00,001-2-0720102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720112024-M#FR-00,001-2-0720112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720122024-M#FR-00,001-2-0720122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0720122025-M#FR-00,001-2-0720122025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820012024-M#FR-00,001-2-0820012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820012025-M#FR-00,001-2-0820012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820022024-M#FR-00,001-2-0820022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820032024-M#FR-00,001-2-0820032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820102024-M#FR-00,001-2-0820102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820112023-M#FR-00,001-2-0820112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820112024-M#FR-00,001-2-0820112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820122023-M#FR-00,001-2-0820122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-2-0820122024-M#FR-00,001-2-0820122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230042024-M#FR-00,001-26-1230042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230052024-M#FR-00,001-26-1230052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230062024-M#FR-00,001-26-1230062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230072024-M#FR-00,001-26-1230072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230082024-M#FR-00,001-26-1230082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230092024-M#FR-00,001-26-1230092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1230102024-M#FR-00,001-26-1230102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315042024-M#FR-00,001-26-1315042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315052024-M#FR-00,001-26-1315052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315062024-M#FR-00,001-26-1315062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315072024-M#FR-00,001-26-1315072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315082024-M#FR-00,001-26-1315082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315092024-M#FR-00,001-26-1315092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1315102024-M#FR-00,001-26-1315102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330012024-M#FR-00,001-26-1330012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330012025-M#FR-00,001-26-1330012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330022024-M#FR-00,001-26-1330022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330032024-M#FR-00,001-26-1330032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330042024-M#FR-00,001-26-1330042024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330052024-M#FR-00,001-26-1330052024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330062024-M#FR-00,001-26-1330062024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330072024-M#FR-00,001-26-1330072024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330082024-M#FR-00,001-26-1330082024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330092024-M#FR-00,001-26-1330092024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330102024-M#FR-00,001-26-1330102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330112023-M#FR-00,001-26-1330112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330112024-M#FR-00,001-26-1330112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330122023-M#FR-00,001-26-1330122023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330122024-M#FR-00,001-26-1330122024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1330122025-M#FR-00,001-26-1330122025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415012024-M#FR-00,001-26-1415012024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415012025-M#FR-00,001-26-1415012025-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415022024-M#FR-00,001-26-1415022024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415032024-M#FR-00,001-26-1415032024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415102024-M#FR-00,001-26-1415102024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415112023-M#FR-00,001-26-1415112023-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
001,001-26-1415112024-M#FR-00,001-26-1415112024-M#FR,,,,0,,b68d58fc818a218eb1dc2ecdc3be9044,1,,1,,1
