service_id,date,exception_type
001-3-0655042024-FR#M,20240404,2
001-3-0655102024-FR#M,20241003,2
001-3-0655102024-FR#M,20241007,2
001-3-0655102024-FR#M,20241010,2
001-3-0655102024-FR#M,20241014,2
001-3-0655102024-FR#M,20241021,2
001-3-0655102024-FR#M,20241027,2
001-3-0655102024-FR#M,20241029,2
001-3-0655102024-FR#M,20241030,2
001-3-0655122023-FR#M,20231203,2
001-3-0655122023-FR#M,20231206,2
001-3-0655122023-FR#M,20231210,2
001-3-0655122023-FR#M,20231213,2
001-3-0655122023-FR#M,20231217,2
001-3-0655122023-FR#M,20231220,2
001-3-0655122023-FR#M,20231225,2
001-3-0655122024-FR#M,20241205,2
001-3-0655122024-FR#M,20241212,2
001-3-0755012024-FR#M,20240102,2
001-3-0755012024-FR#M,20240108,2
001-3-0755012024-FR#M,20240115,2
001-3-0755012024-FR#M,20240122,2
001-3-0755012024-FR#M,20240129,2
001-3-0755012025-FR#M,20250102,2
001-3-0755122023-FR#M,20231204,2
001-3-0755122023-FR#M,20231211,2
001-3-0755122023-FR#M,20231218,2
001-3-0755122023-FR#M,20231224,2
001-3-0755122023-FR#M,20231227,2
001-3-0755122024-FR#M,20241219,2
001-3-0755122024-FR#M,20241226,2
001-35-1430042024-FR#M,20240408,2
001-35-1430042024-FR#M,20240415,2
001-35-1430042024-FR#M,20240422,2
001-35-1430102024-FR#M,20241014,2
001-35-1430102024-FR#M,20241021,2
001-35-1530012024-FR#M,20240120,2
001-35-1530032024-FR#M,20240302,2
001-35-1530032024-FR#M,20240303,2
001-35-1530032024-FR#M,20240304,2
001-35-1530032024-FR#M,20240310,2
001-35-1530032024-FR#M,20240311,2
001-35-1530032024-FR#M,20240317,2
001-35-1530032024-FR#M,20240318,2
001-35-1530032024-FR#M,20240324,2
001-35-1530102024-FR#M,20241007,2
001-35-1530102024-FR#M,20241010,2
001-35-1530102024-FR#M,20241014,2
001-35-1530102024-FR#M,20241017,2
001-35-1530102024-FR#M,20241021,2
001-35-1530102024-FR#M,20241024,2
001-35-1530102024-FR#M,20241027,2
001-35-1530122024-FR#M,20241209,2
001-35-1630012024-FR#M,20240108,2
001-35-1630012024-FR#M,20240115,2
001-35-1630012024-FR#M,20240122,2
001-35-1630122023-FR#M,20231205,2
001-35-1630122023-FR#M,20231212,2
001-35-1630122023-FR#M,20231219,2
001-35-1630122023-FR#M,20231224,2
001-38-1505042024-M#FR,20240411,2
001-38-1505042024-M#FR,20240418,2
001-38-1505042024-M#FR,20240425,2
001-38-1505102024-M#FR,20241017,2
001-38-1505102024-M#FR,20241024,2
001-38-1605012024-M#FR,20240109,2
001-38-1605012024-M#FR,20240115,2
001-38-1605012024-M#FR,20240116,2
001-38-1605012024-M#FR,20240122,2
001-38-1605012024-M#FR,20240123,2
001-38-1605012025-M#FR,20250109,2
001-38-1605032024-M#FR,20240307,2
001-38-1605032024-M#FR,20240314,2
001-38-1605032024-M#FR,20240321,2
001-38-1605122023-M#FR,20231206,2
001-38-1605122023-M#FR,20231213,2
001-38-1605122023-M#FR,20231220,2
001-38-1605122023-M#FR,20231225,2
001-38-1605122024-M#FR,20241205,2
001-38-1605122024-M#FR,20241212,2
001-38-1635012024-M#FR,20240108,2
001-38-1635012024-M#FR,20240115,2
001-38-1635012024-M#FR,20240122,2
001-38-1635122023-M#FR,20231205,2
001-38-1635122023-M#FR,20231212,2
001-38-1635122023-M#FR,20231219,2
001-38-1635122023-M#FR,20231224,2
001-5-0830042024-FR#M,20240411,2
001-5-0830042024-FR#M,20240418,2
001-5-0830042024-FR#M,20240425,2
001-5-0830102024-FR#M,20241017,2
001-5-0830102024-FR#M,20241024,2
001-5-0930012024-FR#M,20240109,2
001-5-0930012024-FR#M,20240115,2
001-5-0930012024-FR#M,20240116,2
001-5-0930012024-FR#M,20240122,2
001-5-0930012024-FR#M,20240123,2
001-5-0930012025-FR#M,20250109,2
001-5-0930032024-FR#M,20240307,2
001-5-0930032024-FR#M,20240314,2
001-5-0930032024-FR#M,20240321,2
001-5-0930122023-FR#M,20231206,2
001-5-0930122023-FR#M,20231213,2
001-5-0930122023-FR#M,20231220,2
001-5-0930122023-FR#M,20231225,2
001-5-0930122024-FR#M,20241205,2
001-5-0930122024-FR#M,20241212,2
001-5-1000012024-FR#M,20240108,2
001-5-1000012024-FR#M,20240115,2
001-5-1000012024-FR#M,20240122,2
001-5-1000122023-FR#M,20231205,2
001-5-1000122023-FR#M,20231212,2
001-5-1000122023-FR#M,20231219,2
001-5-1000122023-FR#M,20231224,2
001-8-0750042024-M#FR,20240429,2
001-8-0750102024-M#FR,20241007,2
001-8-0850032024-M#FR,20240325,2
001-8-0850122023-M#FR,20231226,2
001-8-0850122024-M#FR,20241216,2
001-8-0850122024-M#FR,20241223,2
002-110-1320122023-BBA#L,20231216,2
002-111-0920122023-L#BBA,20231216,2
002-112-1420012024-BBA#L,20240108,2
002-112-1420012024-BBA#L,20240109,2
002-112-1420122023-BBA#L,20231218,2
002-112-1420122023-BBA#L,20231219,2
002-112-1420122023-BBA#L,20231224,2
002-114-1550122023-BBA#L,20231226,2
002-115-1220122023-L#BBA,20231226,2
006-1-0830122023-ZH#M,20231205,2
006-1-0830122023-ZH#M,20231206,2
006-1-0830122023-ZH#M,20231212,2
006-1-0830122023-ZH#M,20231213,2
006-1-0830122023-ZH#M,20231219,2
006-1-0830122023-ZH#M,20231220,2
006-2-0720122023-M#ZH,20231205,2
006-2-0720122023-M#ZH,20231206,2
006-2-0720122023-M#ZH,20231212,2
006-2-0720122023-M#ZH,20231213,2
